iter	Passed	Remaining
132	2873	8578
133	2893	8552
134	2914	8528
135	2935	8505
136	2956	8480
137	2978	8459
138	2998	8433
139	3020	8413
140	3038	8381
141	3059	8360
142	3091	8366
143	3115	8352
144	3136	8329
145	3161	8314
146	3187	8303
147	3210	8285
148	3233	8267
149	3255	8248
150	3279	8231
151	3301	8209
152	3326	8195
153	3349	8176
154	3372	8159
155	3389	8125
156	3414	8112
157	3430	8076
158	3449	8049
159	3468	8021
160	3492	8003
161	3512	7978
162	3533	7955
163	3552	7928
164	3575	7909
165	3595	7883
166	3614	7857
167	3635	7834
168	3654	7805
169	3674	7782
170	3696	7760
171	3721	7745
172	3748	7736
173	3782	7738
174	3807	7723
175	3830	7705
176	3849	7676
177	3867	7648
178	3884	7616
179	3900	7585
180	3916	7552
181	3940	7534
182	3971	7530
183	3992	7507
184	4010	7479
185	4028	7450
186	4044	7418
187	4064	7393
188	4084	7368
189	4100	7336
190	4116	7306
191	4137	7283
192	4154	7254
193	4171	7224
194	4187	7194
195	4205	7167
196	4222	7138
197	4241	7112
198	4260	7087
199	4280	7063
200	4302	7041
201	4321	7016
202	4340	6992
203	4360	6967
204	4386	6953
205	4403	6926
206	4421	6899
207	4437	6869
208	4452	6839
209	4469	6810
210	4489	6788
211	4508	6762
212	4523	6732
213	4540	6705
214	4557	6676
215	4581	6660
216	4599	6633
217	4615	6605
218	4632	6579
219	4649	6551
220	4667	6525
221	4685	6500
222	4705	6478
223	4726	6456
224	4742	6429
225	4763	6407
226	4782	6384
227	4806	6366
228	4820	6336
229	4839	6312
230	4860	6291
231	4881	6270
232	4901	6248
233	4924	6229
234	4945	6208
235	4961	6180
236	4983	6160
237	4999	6134
238	5017	6108
239	5034	6083
240	5059	6067
241	5081	6047
242	5107	6032
243	5131	6014
244	5157	5999
245	5180	5980
246	5201	5959
247	5218	5933
248	5234	5907
249	5257	5887
250	5278	5866
251	5300	5847
252	5319	5824
253	5345	5808
254	5366	5787
255	5386	5764
256	5403	5739
257	5420	5714
258	5440	5692
259	5462	5672
260	5480	5648
261	5500	5626
262	5519	5603
263	5540	5582
264	5559	5559
265	5577	5535
266	5599	5515
267	5624	5498
268	5647	5479
269	5661	5451
270	5676	5424
271	5689	5397
272	5705	5370
273	5720	5345
274	5735	5318
275	5752	5294
276	5768	5268
277	5792	5250
278	5818	5234
279	5838	5212
280	5855	5188
281	5872	5164
282	5889	5140
283	5919	5127
284	5944	5109
285	5973	5095
286	5993	5074
287	6012	5052
288	6035	5033
289	6055	5011
290	6080	4993
291	6106	4977
292	6135	4962
293	6170	4953
294	6200	4939
295	6230	4925
296	6260	4911
297	6284	4892
298	6312	4877
299	6335	4857
300	6361	4839
301	6387	4822
302	6407	4800
303	6430	4780
304	6448	4756
305	6466	4733
306	6485	4711
307	6504	4688
308	6525	4667
309	6545	4645
310	6565	4623
311	6584	4601
312	6600	4575
313	6620	4554
314	6636	4529
315	6653	4505
316	6674	4484
317	6690	4460
318	6711	4439
319	6730	4417
320	6752	4396
321	6771	4374
322	6786	4349
323	6806	4327
324	6824	4304
325	6845	4283
326	6871	4265
327	6890	4243
328	6907	4219
329	6923	4196
330	6946	4176
331	6963	4153
332	6982	4130
333	7000	4108
334	7020	4086
335	7044	4067
336	7066	4046
337	7087	4025
338	7109	4005
339	7131	3985
340	7148	3962
341	7168	3940
342	7191	3920
343	7213	3900
344	7234	3879
345	7254	3857
346	7273	3835
347	7290	3812
348	7308	3790
349	7326	3767
350	7344	3745
351	7365	3724
352	7386	3703
353	7409	3683
354	7426	3660
355	7448	3640
356	7469	3619
357	7490	3598
358	7512	3578
359	7527	3554
360	7548	3533
361	7566	3511
362	7586	3490
363	7604	3467
364	7621	3445
365	7639	3423
366	7660	3402
367	7681	3381
368	7697	3358
369	7713	3335
370	7731	3313
371	7751	3292
372	7773	3272
373	7793	3250
374	7811	3228
375	7831	3207
376	7850	3185
377	7870	3165
378	7900	3147
379	7925	3128
380	7959	3112
381	7981	3092
382	8001	3071
383	8021	3049
384	8039	3027
385	8062	3007
386	8082	2986
387	8099	2964
388	8117	2942
389	8137	2921
390	8161	2901
391	8178	2879
392	8195	2857
393	8213	2835
394	8229	2812
395	8249	2791
396	8268	2769
397	8288	2749
398	8308	2727
399	8327	2706
400	8343	2684
401	8362	2662
402	8385	2642
403	8411	2623
404	8435	2603
405	8453	2581
406	8472	2560
407	8489	2538
408	8511	2518
409	8534	2497
410	8555	2477
411	8580	2457
412	8602	2437
413	8623	2416
414	8641	2394
415	8657	2372
416	8679	2352
417	8701	2331
418	8718	2309
419	8736	2288
420	8756	2267
421	8774	2245
422	8794	2224
423	8816	2204
424	8833	2182
425	8853	2161
426	8872	2140
427	8890	2118
428	8909	2097
429	8929	2076
430	8947	2055
431	8966	2033
432	8988	2013
433	9013	1993
434	9036	1973
435	9056	1952
436	9077	1931
437	9101	1911
438	9122	1890
439	9145	1870
440	9173	1851
441	9197	1831
442	9220	1810
443	9238	1789
444	9267	1770
445	9290	1749
446	9314	1729
447	9337	1709
448	9358	1688
449	9379	1667
450	9399	1646
451	9420	1625
452	9442	1605
453	9462	1584
454	9483	1563
455	9502	1542
456	9522	1521
457	9542	1500
458	9560	1478
459	9587	1458
460	9614	1439
461	9632	1417
462	9652	1396
463	9674	1376
464	9692	1354
465	9713	1334
466	9737	1313
467	9756	1292
468	9777	1271
469	9800	1251
470	9822	1230
471	9844	1209
472	9868	1189
473	9890	1168
474	9910	1147
475	9929	1126
476	9949	1105
477	9970	1084
478	9993	1064
479	10017	1043
480	10038	1022
481	10061	1002
482	10086	981
483	10105	960
484	10129	939
485	10154	919
486	10176	898
487	10201	877
488	10217	856
489	10240	835
490	10259	814
491	10280	793
492	10301	773
493	10322	752
494	10342	731
495	10363	710
496	10385	689
497	10405	668
498	10426	647
499	10456	627
500	10481	606
501	10503	585
502	10521	564
503	10545	544
504	10566	523
505	10590	502
506	10626	482
507	10659	461
508	10687	440
509	10710	420
510	10739	399
511	10761	378
512	10783	357
513	10804	336
514	10827	315
515	10853	294
516	10874	273
517	10892	252
518	10912	231
519	10934	210
520	10952	189
521	10972	168
522	10994	147
523	11014	126
524	11037	105
525	11061	84
526	11083	63
527	11103	42
528	11124	21
529	11145	0
