iter	Logloss
182	0.3799785601
183	0.37940184
184	0.3787825208
185	0.37774732
186	0.3769240979
187	0.3754281114
188	0.3748394396
189	0.3741574294
190	0.373442212
191	0.3725145471
192	0.3717199368
193	0.3709789571
194	0.3702676437
195	0.3695857059
196	0.3688937874
197	0.3683522424
198	0.3677847074
199	0.3667995611
200	0.3658916279
201	0.3651154483
202	0.3646227782
203	0.363942122
204	0.3630714129
205	0.3623250329
206	0.361615292
207	0.360786604
208	0.3600670248
209	0.3595225469
210	0.3584582216
211	0.3575056491
212	0.3569341961
213	0.3564056711
214	0.3557275925
215	0.3550003858
216	0.3543486801
217	0.3534957091
218	0.3526517251
219	0.351857284
220	0.3510019341
221	0.3506423015
222	0.3500284
223	0.3495765684
224	0.3491915703
225	0.3483821565
226	0.347348483
227	0.3465683455
228	0.346491458
229	0.34561515
230	0.3448602239
231	0.3442450669
232	0.3435155125
233	0.3428877701
234	0.3421947619
235	0.3413863371
236	0.3408199827
237	0.3404198681
238	0.33982472
239	0.3394895365
240	0.3390907051
241	0.3385546053
242	0.33776968
243	0.3372979081
244	0.3367630456
245	0.3361184136
246	0.3355150255
247	0.3347496774
248	0.3338233291
249	0.3323808757
250	0.3318952642
251	0.3310650692
252	0.3304701123
253	0.329534341
254	0.3289257001
255	0.3281813433
256	0.3273599087
257	0.3269198577
258	0.3263339016
259	0.3256941368
260	0.325260496
261	0.3246560512
262	0.3239939697
263	0.3234719137
264	0.3229087681
265	0.3221999281
266	0.3214995478
267	0.32109533
268	0.3203745108
269	0.3197340221
270	0.3190932138
271	0.3185637851
272	0.3179134414
273	0.3171974817
274	0.3161732493
275	0.3150163407
276	0.3145322875
277	0.3137803902
278	0.313364873
279	0.3125607821
280	0.3121755579
281	0.3116396874
282	0.3107289985
283	0.310015421
284	0.3095005752
285	0.3088614436
286	0.3079504615
287	0.3075477276
288	0.3069335854
289	0.3064518178
290	0.3059116472
291	0.3054212415
292	0.3045555559
293	0.3035333817
294	0.3028701385
295	0.3023796259
296	0.3018329898
297	0.3012958256
298	0.3010480631
299	0.3006719311
300	0.2998836566
301	0.2992596522
302	0.2988265058
303	0.2983741706
304	0.2977331305
305	0.2971918349
306	0.2968791169
307	0.2962731251
308	0.2956696605
309	0.2949839538
310	0.2941555902
311	0.2934245239
312	0.2928156468
313	0.2922312656
314	0.2917077313
315	0.2912309295
316	0.2906236491
317	0.2901438327
318	0.2892834622
319	0.2881919444
320	0.2873693896
321	0.2864826308
322	0.2859419209
323	0.2850820648
324	0.284377753
325	0.283687313
326	0.2830521689
327	0.2824171334
328	0.2817683711
329	0.2812143823
330	0.2800463913
331	0.2790666958
332	0.278359858
333	0.2775567735
334	0.2770008268
335	0.2762396126
336	0.2755823971
337	0.2746377419
338	0.2742134044
339	0.2730416241
340	0.2719917492
341	0.2713770833
342	0.2706980914
343	0.2699583642
344	0.2694198252
345	0.2688179074
346	0.2679490104
347	0.267254643
348	0.2665516467
349	0.2659937335
350	0.2653873702
351	0.2647995871
352	0.263748553
353	0.2631436813
354	0.2626684864
355	0.2621892055
356	0.2616300722
357	0.2609828398
358	0.2603458124
359	0.2597495319
360	0.258750416
361	0.2582229864
362	0.2575419756
363	0.2568791272
364	0.2563784384
365	0.2556958676
366	0.2552410193
367	0.254339757
368	0.253742581
369	0.2530722334
370	0.2524567634
371	0.2520195297
372	0.2513848607
373	0.2507111979
374	0.2502770257
375	0.2497310218
376	0.249294295
377	0.248162282
378	0.2476648714
379	0.2467320649
380	0.2460234445
381	0.2452104194
382	0.2445852658
383	0.2437706588
384	0.2431628424
385	0.2424047254
386	0.2416135448
387	0.2409778348
388	0.2400938233
389	0.239689908
390	0.2389223966
391	0.2382283428
392	0.2376674736
393	0.2372315236
394	0.2365844566
395	0.2357947271
396	0.2353535987
397	0.2350117151
398	0.2343943831
399	0.2338741176
400	0.2334003874
401	0.2328379437
402	0.2323313441
403	0.2316339539
404	0.2305829591
405	0.2300122151
406	0.2294537396
407	0.2290192388
408	0.2285489951
409	0.2277579342
410	0.2273268422
411	0.2265668371
412	0.2258922054
413	0.2254053375
414	0.2250305506
415	0.2246536021
416	0.2240610642
417	0.2233491386
418	0.2228936461
419	0.2222493233
420	0.2216648312
421	0.2210921174
422	0.2206516271
423	0.2201401254
424	0.2196410377
425	0.2193033058
426	0.2186269322
427	0.218221222
428	0.217691058
429	0.217260373
430	0.2167945899
431	0.2161144649
432	0.2154590183
433	0.2148727433
434	0.2142425742
435	0.2137687712
436	0.2131231364
437	0.2126733354
438	0.2121861635
439	0.2116963674
440	0.2111870044
441	0.2107352462
442	0.2101428321
443	0.2098066703
444	0.2093185084
445	0.208760968
446	0.2080948397
447	0.2076824735
448	0.2069346726
449	0.2065120138
450	0.2061915295
451	0.2056760355
452	0.205189097
453	0.2046441371
454	0.203929658
455	0.2035598648
456	0.2030899158
457	0.2025820097
458	0.2019539234
459	0.2012649001
460	0.2006112376
461	0.2001069709
462	0.1997718229
463	0.1994971434
464	0.1990616921
465	0.1985612698
466	0.1980099648
467	0.197462796
468	0.1969119187
469	0.1963136974
470	0.1957767202
471	0.1954915066
472	0.195139993
473	0.1946629629
474	0.1943144567
475	0.1936173399
476	0.193164297
477	0.192771792
478	0.1923199607
479	0.1916171461
480	0.1913054851
481	0.190899619
482	0.1905134262
483	0.1901197421
484	0.1892390228
485	0.1885931354
486	0.1880181371
487	0.1875308326
488	0.1869851313
489	0.1866167653
490	0.1862764204
491	0.1858400924
492	0.1855423178
493	0.185218403
494	0.1847686066
495	0.1842872791
496	0.1839707976
497	0.1836257465
498	0.1833088808
499	0.1829994032
500	0.1823945843
501	0.1820007511
502	0.1816400294
503	0.1811857294
504	0.1808941013
505	0.1806172662
506	0.1802797751
507	0.1797467262
508	0.179080081
509	0.1784434099
510	0.1778583271
511	0.1773003407
512	0.1769060045
513	0.1763849525
514	0.1758387471
515	0.1752810011
516	0.1748018554
517	0.1744643848
518	0.174054804
519	0.1736718868
520	0.1731218159
521	0.1728310464
522	0.172394671
523	0.1720988745
524	0.1716968597
525	0.1711430405
526	0.1708516028
527	0.1705177801
528	0.1699577978
529	0.169479632
