iter	Logloss
0	0.6844467138
1	0.6751484203
2	0.668403622
3	0.6625605858
4	0.6548213105
5	0.6478953782
6	0.6422278699
7	0.6367050108
8	0.6315616518
9	0.6279027273
10	0.6234978916
11	0.6184220296
12	0.6137689879
13	0.6084923227
14	0.6040147416
15	0.5990235914
16	0.5949803731
17	0.5912749765
18	0.5877635649
19	0.5843041475
20	0.5816400913
21	0.5797172135
22	0.5766740675
23	0.5744960989
24	0.5721568374
25	0.5695283312
26	0.5660012449
27	0.5631330042
28	0.5607637019
29	0.558597006
30	0.5558212205
31	0.5536490675
32	0.5513159927
33	0.5491107823
34	0.5475550281
35	0.545157929
36	0.5432598249
37	0.5410779153
38	0.5399932717
39	0.5376532827
40	0.5358485629
41	0.5337732378
42	0.5324344207
43	0.5306432047
44	0.5287176897
45	0.52747595
46	0.5258553084
47	0.5245269223
48	0.5233504658
49	0.5222406947
50	0.5210056516
51	0.5194262392
52	0.5182933322
53	0.5162713739
54	0.5151332628
55	0.5127826981
56	0.5107590299
57	0.5095991785
58	0.5084768913
59	0.5068151389
60	0.505216028
61	0.5035779237
62	0.5020397611
63	0.5013714864
64	0.499778969
65	0.4979542213
66	0.495758985
67	0.4949333226
68	0.4940064143
69	0.4923846709
70	0.4914584769
71	0.4893772354
72	0.4882292154
73	0.4866446892
74	0.4853071451
75	0.4836296305
76	0.4825078297
77	0.4812523608
78	0.4800809387
79	0.4792641305
80	0.4781329556
81	0.4771242592
82	0.4761994538
83	0.4751203398
84	0.4742722142
85	0.4728745986
86	0.4720551345
87	0.470774911
88	0.4697446435
89	0.4684135089
90	0.4671362746
91	0.4661172906
92	0.464659418
93	0.4635726794
94	0.4627585215
95	0.4619311158
96	0.4610895085
97	0.4601691861
98	0.4586019846
99	0.4576916062
100	0.4558815199
101	0.4548341071
102	0.4536532085
103	0.4529810447
104	0.452222892
105	0.4507934485
106	0.4492263091
107	0.4482572289
108	0.4473784927
109	0.4464742614
110	0.4450939602
111	0.4438590354
112	0.4433445481
113	0.4415531464
114	0.440287732
115	0.4395108789
116	0.4384079405
117	0.4373484937
118	0.436241488
119	0.4349260992
120	0.4338614218
121	0.4334113152
122	0.432663688
123	0.4308920329
124	0.4294690588
125	0.4281761311
126	0.4276187167
127	0.4264500504
128	0.4255746966
129	0.424125575
130	0.4235741396
131	0.4218206662
132	0.4211851349
133	0.4202782823
134	0.4194371977
135	0.4186968313
136	0.4180288711
137	0.4171279964
138	0.4158022383
139	0.4147744943
140	0.4134791371
141	0.412488444
142	0.4118431835
143	0.4101689009
144	0.4095323443
145	0.4087892592
146	0.4081167701
147	0.4073575798
148	0.4063452515
149	0.4054875056
150	0.4046362079
151	0.4033150331
152	0.4025764171
153	0.4017069997
154	0.4011073251
155	0.400110317
156	0.3992446555
157	0.3986380984
158	0.3980691729
159	0.3972226682
160	0.3962537548
161	0.3956816709
162	0.3950381461
163	0.3942574363
164	0.3934875716
165	0.3927127105
166	0.3919467178
167	0.3911307479
168	0.3904087386
169	0.3893740451
170	0.3885617388
171	0.3877683801
172	0.3871304917
173	0.386487455
174	0.385659321
175	0.3848029557
176	0.3839793584
177	0.383339136
178	0.382582259
179	0.3817331843
180	0.3812753731
181	0.3806169014
